County,Cost-of-food index,Weighted cost per meal,,,
Marion, 0.938 , $2.57 ,,1434.12,590.52
Martin, 0.897 , $2.46 ,,518.7,121.55
Mason, 0.912 , $2.50 ,,297.55,235.95
Matagorda, 0.840 , $2.30 ,,4692.16,1561.78
Maverick, 0.704 , $1.93 ,,9470,0
Medina, 0.808 , $2.21 ,,4303.2,2164.64
Menard, 0.882 , $2.42 ,,283.42,84.36
Midland, 0.924 , $2.53 ,,10010,7098
Milam, 0.905 , $2.48 ,,3418.44,990.04
Mills, 0.877 , $2.40 ,,527.25,172.5
Mitchell, 0.909 , $2.49 ,,730.8,633.65
Montague, 0.942 , $2.58 ,,1981.32,862.68
Montgomery, 1.026 , $2.81 ,,36344.96,29020.16
Moore, 0.941 , $2.58 ,,2581.6,84
Morris, 0.891 , $2.44 ,,1882.32,557.52
Motley, 0.984 , $2.70 ,,182.07,15.12
Nacogdoches, 0.996 , $2.73 ,,9528.54,3236.37
Navarro, 0.849 , $2.33 ,,6472.44,1982.3
Newton, 0.935 , $2.56 ,,1692.6,1097.4
Nolan, 0.933 , $2.56 ,,1824.48,516.6
Nueces, 0.855 , $2.34 ,,39977.25,12655.05
Ochiltree, 0.949 , $2.60 ,,1143.36,277.92
Oldham, 0.943 , $2.58 ,,244.12,50.32
Orange, 0.928 , $2.54 ,,8425.08,5621.94
Palo Pinto, 0.971 , $2.66 ,,3270.96,1043.12
Panola, 0.901 , $2.47 ,,2064,1408
Parker, 1.063 , $2.91 ,,8077.05,8250.75
Parmer, 1.010 , $2.77 ,,1132.23,265.08
Pecos, 0.904 , $2.48 ,,1333.28,0
Polk, 0.875 , $2.40 ,,5626.83,2358.24
Potter, 0.891 , $2.44 ,,17319.88,3876.57
Presidio, 1.129 , $3.09 ,,1199.96,0
Rains, 0.972 , $2.66 ,,1020,510
Randall, 1.052 , $2.88 ,,8663.2,7832.24
Reagan, 0.891 , $2.44 ,,224.4,86.7
Real, 0.891 , $2.44 ,,436.16,94.54
Red River, 0.888 , $2.43 ,,1786.48,632.94
Reeves, 0.914 , $2.50 ,,1551.5,0
Refugio, 0.847 , $2.32 ,,756,182
Roberts, 1.009 , $2.76 ,,54.6,70.85
Robertson, 0.891 , $2.44 ,,2251.16,741.48
Rockwall, 0.998 , $2.73 ,,3650.54,6150.48
Runnels, 0.902 , $2.47 ,,1348.16,300.96
Rusk, 0.939 , $2.57 ,,5239.2,3275.68
Sabine, 0.940 , $2.58 ,,1591.62,615
San Augustine, 0.934 , $2.56 ,,1641.58,170.91
San Jacinto, 1.030 , $2.82 ,,2625.96,1559.46
San Patricio, 0.837 , $2.29 ,,6696.35,2845.7
San Saba, 0.906 , $2.48 ,,695.89,249.47
Schleicher, 0.878 , $2.41 ,,344.98,0
Scurry, 0.909 , $2.49 ,,1516.41,834.15
Shackelford, 0.931 , $2.55 ,,318.24,116.16
Shelby, 0.945 , $2.59 ,,3986.1,602.55
Sherman, 0.947 , $2.60 ,,317.94,97.86
Smith, 0.957 , $2.62 ,,23768.48,12681.84
Somervell, 0.902 , $2.47 ,,691.2,444.16
Starr, 0.822 , $2.25 ,,11790,0
Stephens, 0.970 , $2.66 ,,1079.2,246.24
Sterling, 0.903 , $2.47 ,,128.69,29.07
Stonewall, 0.958 , $2.62 ,,134.42,76.12
Sutton, 0.828 , $2.27 ,,228.37,144.32
Swisher, 0.944 , $2.59 ,,923.75,212.5
Tarrant, 0.955 , $2.62 ,,187695.36,115028.58
Taylor, 0.929 , $2.55 ,,15467.9,6489.54
Terrell, 0.811 , $2.22 ,,101.78,0
Terry, 0.938 , $2.57 ,,1506.99,338.07
Throckmorton, 0.967 , $2.65 ,,155.76,51.12
Titus, 0.878 , $2.41 ,,4441.41,796.05
Tom Green, 0.877 , $2.40 ,,11863.8,4685.85
Travis, 0.968 , $2.65 ,,117366.92,62981.93
Trinity, 0.898 , $2.46 ,,1620.81,584.64
Tyler, 0.934 , $2.56 ,,2671.61,1177.76
Upshur, 0.923 , $2.53 ,,3896.9,2001.65
Upton, 0.902 , $2.47 ,,281.4,116.34
Uvalde, 0.826 , $2.26 ,,4158.1,0
Val Verde, 0.765 , $2.10 ,,6072.5,0
Van Zandt, 0.951 , $2.61 ,,5594.54,2505.42
Victoria, 0.844 , $2.31 ,,9024.68,3863.86
Walker, 0.945 , $2.59 ,,6450.08,7309.12
Waller, 1.076 , $2.95 ,,4953.12,2464.32
Ward, 0.884 , $2.42 ,,1240,316.8
Washington, 0.930 , $2.55 ,,3658.81,2017.59
Webb, 0.747 , $2.05 ,,37930,0
Wharton, 0.837 , $2.29 ,,4915.96,2041.68
Wheeler, 1.008 , $2.76 ,,465.12,240.16
Wichita, 0.889 , $2.44 ,,13423.5,8195.4
Wilbarger, 0.903 , $2.48 ,,1757.8,502.9
Willacy, 0.723 , $1.98 ,,3988.95,0
Williamson, 0.984 , $2.70 ,,24195.24,33948.36
Wilson, 0.902 , $2.47 ,,2766.76,2104
Winkler, 0.915 , $2.51 ,,627.27,172.26
Wise, 1.009 , $2.76 ,,4548.32,3393.88
Wood, 0.963 , $2.64 ,,4395.84,1901.49
Yoakum, 1.026 , $2.81 ,,730.8,0
Young, 0.908 , $2.49 ,,2043.79,728.42
Zapata, 0.764 , $2.09 ,,1960,0
Zavala, 0.758 , $2.08 ,,2310,0
State Total, 0.876 , $2.40 ,,2881900.98,1268212.98
