,R E C I P I E N T   R A C E ,,,,,,,E T H N I C I T Y ,,,HHOLD INCOME STATUS,
ZIP,"NATIVE
AMERICAN",ASIAN,BLACK,PACIFIC ISLANDER,WHITE,"MULTI
RACE","UNK /
MISSING","
HISPANIC","NON
HISPANIC","UNK /
MISSING","WITH
EARNED $","W/ ONLY
EARNED $"
75098,1.02%,4.31%,13.77%,0.06%,47.66%,0.09%,33.08%,35.75%,57.99%,6.29%,52.05%,48.63%
75101,0.00%,0.00%,14.84%,0.00%,33.55%,0.00%,51.61%,53.55%,39.35%,6.45%,38.89%,35.19%
75102,0.00%,0.00%,4.19%,0.00%,69.30%,0.00%,26.51%,30.70%,63.72%,5.58%,39.13%,37.68%
75103,0.97%,0.41%,5.18%,0.07%,80.19%,0.07%,13.11%,11.39%,82.75%,5.94%,44.06%,40.42%
75104,0.34%,0.45%,64.78%,0.06%,15.08%,0.10%,19.17%,19.48%,74.61%,5.89%,37.79%,35.60%
75105,0.00%,0.00%,9.68%,0.00%,77.42%,0.00%,12.90%,32.26%,58.06%,9.68%,55.56%,44.44%
75106,0.00%,0.00%,88.24%,0.00%,11.76%,0.00%,5.88%,0.00%,100.00%,0.00%,22.22%,22.22%
75108,0.00%,0.00%,100.00%,0.00%,0.00%,0.00%,0.00%,0.00%,100.00%,0.00%,100.00%,0.00%
75109,0.47%,2.34%,5.62%,1.87%,70.73%,0.47%,18.74%,17.56%,75.64%,7.03%,36.11%,34.72%
75110,0.50%,0.98%,26.19%,1.07%,40.28%,0.03%,30.95%,38.87%,54.89%,6.23%,45.87%,42.57%
75112,0.00%,0.00%,100.00%,0.00%,0.00%,0.00%,0.00%,0.00%,100.00%,0.00%,100.00%,100.00%
75113,0.00%,0.00%,100.00%,0.00%,0.00%,0.00%,0.00%,0.00%,100.00%,0.00%,0.00%,0.00%
75114,0.00%,0.00%,9.09%,0.00%,72.56%,0.00%,18.35%,24.13%,71.24%,4.63%,42.63%,41.05%
75115,0.39%,0.50%,69.09%,0.03%,11.74%,0.13%,18.12%,16.98%,77.13%,5.90%,33.96%,32.04%
75116,0.47%,0.23%,30.91%,0.08%,24.95%,0.05%,43.26%,55.22%,40.23%,4.53%,47.49%,45.47%
75117,1.06%,0.42%,8.07%,0.00%,78.34%,0.00%,12.31%,8.92%,82.38%,8.70%,39.25%,36.56%
75118,0.00%,0.00%,50.00%,0.00%,50.00%,0.00%,0.00%,0.00%,100.00%,0.00%,0.00%,0.00%
75119,0.35%,0.32%,18.14%,0.20%,36.13%,0.06%,44.77%,49.30%,44.16%,6.52%,45.28%,42.87%
75120,0.00%,0.00%,16.67%,5.56%,44.44%,0.00%,27.78%,16.67%,72.22%,11.11%,22.22%,22.22%
75121,0.00%,0.00%,0.00%,0.00%,87.50%,0.00%,12.50%,6.25%,93.75%,6.25%,33.33%,33.33%
75123,0.00%,0.00%,90.91%,0.00%,9.09%,0.00%,0.00%,0.00%,90.91%,9.09%,14.29%,14.29%
75124,0.00%,0.00%,1.23%,0.00%,85.36%,0.15%,13.10%,8.94%,82.90%,8.17%,38.30%,36.60%
75125,0.37%,0.30%,11.29%,0.07%,38.45%,0.00%,49.59%,54.83%,38.60%,6.57%,44.75%,41.78%
75126,0.27%,1.51%,16.06%,0.05%,60.82%,0.00%,21.24%,24.26%,69.75%,5.95%,39.89%,37.81%
75127,1.57%,0.78%,1.18%,0.00%,83.53%,0.00%,12.55%,7.06%,88.63%,4.31%,36.47%,34.12%
75130,0.00%,0.00%,0.00%,0.00%,100.00%,0.00%,0.00%,0.00%,100.00%,0.00%,100.00%,100.00%
75132,4.08%,0.00%,16.33%,2.04%,61.22%,0.00%,18.37%,14.29%,79.59%,8.16%,41.18%,41.18%
75134,0.38%,0.18%,69.18%,0.02%,10.73%,0.10%,19.43%,18.87%,74.22%,6.91%,38.22%,35.85%
75135,0.18%,0.00%,5.32%,0.00%,74.47%,0.00%,20.04%,22.16%,72.70%,5.14%,44.68%,40.43%
75136,0.00%,0.00%,100.00%,0.00%,0.00%,0.00%,0.00%,0.00%,100.00%,0.00%,0.00%,0.00%
75137,0.30%,0.47%,51.04%,0.03%,19.76%,0.10%,28.30%,31.75%,62.99%,5.29%,37.48%,35.65%
75138,0.00%,0.00%,87.50%,0.00%,12.50%,0.00%,0.00%,0.00%,100.00%,0.00%,0.00%,0.00%
75140,0.20%,0.20%,1.66%,0.00%,75.71%,0.00%,22.15%,22.15%,72.98%,4.78%,45.16%,41.94%
75141,0.61%,0.74%,33.21%,0.00%,23.90%,0.12%,41.54%,52.21%,43.26%,4.53%,46.99%,45.11%
75142,0.40%,0.28%,8.86%,0.00%,64.62%,0.03%,25.81%,36.93%,58.21%,4.89%,43.55%,40.73%
75143,0.59%,0.78%,2.60%,0.07%,79.36%,0.07%,16.60%,13.09%,78.06%,8.79%,34.99%,32.59%
75144,0.17%,0.17%,35.51%,0.00%,47.51%,0.17%,16.30%,14.24%,78.90%,6.86%,33.18%,30.94%
75146,0.31%,0.38%,65.54%,0.05%,13.11%,0.03%,20.58%,19.99%,73.30%,6.71%,39.99%,37.79%
75147,0.50%,0.17%,6.32%,0.00%,80.37%,0.00%,12.81%,12.65%,80.87%,6.66%,40.34%,37.77%
75148,0.75%,0.00%,14.81%,0.00%,66.32%,0.00%,18.21%,13.96%,76.79%,9.34%,37.63%,34.85%
75149,0.61%,0.76%,32.36%,0.07%,34.08%,0.09%,32.04%,38.06%,55.29%,6.65%,46.36%,43.94%
75150,0.51%,1.85%,29.79%,0.09%,33.81%,0.11%,33.83%,42.41%,51.56%,6.02%,48.76%,46.43%
75151,0.00%,0.00%,63.64%,0.00%,27.27%,0.00%,9.09%,9.09%,90.91%,9.09%,14.29%,14.29%
75152,0.65%,0.26%,3.24%,0.00%,47.99%,0.13%,47.73%,49.42%,44.36%,6.23%,46.64%,44.54%
75153,0.00%,0.00%,10.57%,0.00%,52.85%,0.00%,36.59%,53.66%,41.46%,4.88%,47.06%,41.18%
75154,0.55%,1.17%,19.64%,0.00%,49.54%,0.11%,28.98%,30.96%,62.44%,6.60%,41.90%,39.93%
75155,0.32%,0.00%,4.47%,0.00%,54.79%,0.00%,40.42%,52.88%,42.17%,4.95%,44.21%,42.11%
75156,0.53%,0.25%,2.81%,0.04%,83.90%,0.04%,12.44%,8.11%,83.08%,8.82%,35.12%,31.61%
75157,0.00%,0.00%,37.04%,0.00%,58.02%,0.00%,4.94%,4.94%,92.59%,3.70%,33.33%,30.00%
75158,0.83%,0.83%,1.45%,0.00%,88.17%,0.00%,8.71%,10.58%,85.27%,4.36%,37.29%,35.03%
75159,0.45%,0.48%,16.34%,0.10%,52.81%,0.03%,29.83%,40.60%,53.68%,5.72%,46.16%,43.37%
75160,0.46%,0.32%,30.49%,0.02%,42.96%,0.04%,25.73%,32.78%,61.39%,5.85%,45.60%,43.12%
75161,0.12%,0.00%,6.87%,0.00%,70.50%,0.00%,22.51%,27.61%,67.30%,5.09%,40.94%,37.58%
75163,0.27%,0.27%,10.37%,0.00%,76.86%,0.00%,12.23%,7.45%,84.04%,8.78%,39.86%,34.78%
