,R E C I P I E N T   R A C E ,,,,,,,E T H N I C I T Y ,,,HHOLD INCOME STATUS,
ZIP,"NATIVE
AMERICAN",ASIAN,BLACK,PACIFIC ISLANDER,WHITE,"MULTI
RACE","UNK /
MISSING","
HISPANIC","NON
HISPANIC","UNK /
MISSING","WITH
EARNED $","W/ ONLY
EARNED $"
78504,0.26%,0.65%,0.42%,0.06%,44.16%,0.03%,54.43%,90.09%,5.60%,4.31%,54.74%,49.74%
78505,0.00%,0.00%,0.00%,0.00%,34.38%,0.00%,65.63%,93.75%,0.00%,6.25%,43.75%,37.50%
78507,0.00%,0.00%,0.00%,0.00%,33.33%,0.00%,66.67%,100.00%,0.00%,0.00%,0.00%,0.00%
78509,0.00%,0.00%,0.00%,0.00%,20.00%,0.00%,80.00%,100.00%,0.00%,0.00%,100.00%,100.00%
78511,0.00%,0.00%,0.00%,0.00%,100.00%,0.00%,0.00%,0.00%,100.00%,0.00%,100.00%,100.00%
78513,0.00%,0.00%,0.00%,0.00%,100.00%,0.00%,0.00%,100.00%,0.00%,0.00%,100.00%,0.00%
78514,0.00%,0.00%,0.00%,0.00%,75.00%,0.00%,25.00%,0.00%,100.00%,0.00%,100.00%,100.00%
78516,0.11%,0.05%,0.17%,0.02%,44.45%,0.00%,55.20%,94.17%,1.37%,4.45%,61.74%,48.33%
78517,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,100.00%,100.00%,0.00%,0.00%,0.00%,0.00%
78519,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,100.00%,100.00%,0.00%,0.00%,0.00%,0.00%
78520,0.14%,0.13%,0.12%,0.01%,66.87%,0.00%,32.72%,94.56%,1.63%,3.82%,55.86%,48.20%
78521,0.06%,0.11%,0.15%,0.01%,50.26%,0.00%,49.41%,94.29%,1.24%,4.47%,57.66%,48.77%
78522,0.00%,0.00%,0.00%,0.00%,53.85%,0.00%,46.15%,92.31%,7.69%,0.00%,33.33%,33.33%
78523,0.00%,0.00%,0.00%,0.00%,53.85%,0.00%,50.00%,84.62%,11.54%,3.85%,36.36%,27.27%
78524,0.00%,0.00%,0.00%,0.00%,50.00%,0.00%,50.00%,50.00%,0.00%,50.00%,0.00%,0.00%
78525,0.00%,0.00%,0.00%,0.00%,100.00%,0.00%,0.00%,100.00%,0.00%,0.00%,0.00%,0.00%
78526,0.10%,0.17%,0.23%,0.02%,65.87%,0.01%,33.61%,94.57%,1.54%,3.90%,58.87%,51.00%
78528,0.00%,0.00%,0.00%,0.00%,33.33%,0.00%,66.67%,100.00%,0.00%,0.00%,0.00%,0.00%
78530,0.00%,0.00%,0.00%,0.00%,66.67%,0.00%,33.33%,100.00%,0.00%,0.00%,0.00%,0.00%
78531,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,100.00%,80.00%,0.00%,20.00%,100.00%,0.00%
78532,0.00%,0.00%,0.00%,0.00%,25.00%,0.00%,87.50%,100.00%,0.00%,0.00%,50.00%,50.00%
78534,0.00%,0.00%,0.00%,0.00%,50.00%,0.00%,50.00%,92.86%,0.00%,7.14%,66.67%,66.67%
78535,0.00%,0.00%,0.00%,0.00%,41.42%,0.00%,58.31%,91.28%,3.81%,4.90%,46.96%,41.74%
78536,0.00%,1.02%,0.00%,0.00%,19.39%,0.00%,78.57%,95.92%,1.02%,3.06%,53.57%,46.43%
78537,0.10%,0.10%,0.13%,0.01%,43.11%,0.00%,56.56%,93.72%,1.33%,4.95%,62.15%,47.45%
78538,0.13%,0.06%,0.22%,0.02%,50.88%,0.00%,48.68%,95.11%,1.14%,3.73%,52.51%,43.08%
78539,0.21%,0.39%,0.59%,0.01%,35.69%,0.03%,63.06%,92.41%,3.13%,4.46%,54.08%,45.32%
78540,0.00%,0.00%,0.57%,0.00%,28.00%,0.00%,70.86%,91.43%,4.57%,4.00%,38.18%,36.36%
78541,0.16%,0.10%,0.44%,0.02%,35.40%,0.01%,63.87%,93.32%,1.90%,4.79%,58.08%,47.17%
78542,0.10%,0.13%,0.18%,0.02%,40.14%,0.00%,59.42%,94.03%,1.29%,4.69%,60.54%,46.54%
78543,0.10%,0.15%,0.20%,0.07%,50.20%,0.00%,49.25%,94.37%,1.17%,4.44%,49.71%,42.70%
78545,0.00%,0.00%,0.00%,0.00%,31.18%,0.00%,68.82%,94.09%,0.00%,5.91%,52.94%,45.10%
78547,0.00%,0.00%,0.23%,0.00%,18.41%,0.00%,81.36%,95.00%,0.91%,4.09%,60.48%,50.81%
78548,0.00%,0.27%,0.13%,0.00%,24.16%,0.00%,75.44%,95.41%,0.81%,3.78%,46.02%,39.82%
78549,0.19%,0.19%,0.00%,0.00%,49.44%,0.00%,50.19%,95.15%,0.93%,3.92%,42.04%,36.31%
78550,0.13%,0.08%,0.62%,0.01%,45.83%,0.01%,53.31%,89.96%,4.58%,5.46%,52.17%,45.55%
78551,0.00%,0.00%,2.50%,0.00%,52.50%,0.00%,45.00%,92.50%,2.50%,2.50%,30.77%,30.77%
78552,0.14%,0.11%,0.48%,0.05%,45.58%,0.00%,53.65%,90.16%,4.59%,5.25%,52.16%,46.08%
78553,0.00%,0.00%,0.00%,0.00%,14.58%,0.00%,85.42%,95.83%,2.08%,2.08%,38.89%,33.33%
78555,0.00%,0.00%,0.00%,0.00%,50.00%,0.00%,50.00%,50.00%,50.00%,0.00%,100.00%,100.00%
78556,0.00%,0.00%,0.00%,0.00%,100.00%,0.00%,0.00%,100.00%,0.00%,0.00%,100.00%,100.00%
78557,0.19%,0.07%,0.19%,0.00%,40.81%,0.00%,58.77%,95.03%,1.29%,3.68%,59.42%,54.35%
78558,0.00%,0.00%,0.00%,0.00%,39.84%,0.00%,60.16%,96.23%,0.33%,3.61%,51.08%,45.70%
78559,0.16%,0.16%,0.19%,0.05%,45.14%,0.00%,54.31%,91.09%,4.64%,4.27%,52.39%,45.18%
78560,0.18%,0.00%,0.18%,0.00%,40.85%,0.00%,58.79%,93.94%,1.44%,4.62%,52.75%,46.44%
78561,0.22%,0.00%,0.45%,0.00%,43.18%,0.00%,56.15%,94.63%,2.46%,2.91%,55.56%,47.62%
78562,0.43%,0.00%,0.11%,0.00%,45.19%,0.00%,54.38%,95.57%,1.08%,3.35%,48.79%,45.33%
78563,0.00%,0.00%,1.27%,0.00%,31.65%,0.00%,67.09%,92.41%,5.06%,2.53%,50.00%,45.83%
78564,0.00%,0.00%,0.00%,0.00%,49.51%,0.00%,49.51%,96.12%,0.97%,2.91%,47.06%,44.12%
78565,0.00%,0.00%,0.00%,0.00%,36.49%,0.00%,63.03%,94.79%,0.00%,5.21%,43.08%,38.46%
78566,0.19%,0.08%,0.21%,0.02%,46.59%,0.04%,52.89%,92.84%,3.24%,3.94%,54.95%,48.42%
78567,0.56%,0.00%,0.00%,0.00%,30.34%,0.00%,69.10%,94.38%,0.56%,5.06%,50.88%,49.12%
78568,0.00%,0.00%,0.00%,0.00%,26.96%,0.00%,73.04%,96.52%,0.00%,2.61%,43.90%,39.02%
78569,0.15%,0.15%,0.39%,0.00%,37.46%,0.00%,61.76%,92.80%,3.02%,4.18%,43.06%,38.28%
78570,0.10%,0.05%,0.21%,0.03%,39.16%,0.00%,60.46%,94.43%,1.26%,4.31%,53.38%,43.15%
78572,0.12%,0.11%,0.20%,0.01%,44.34%,0.01%,55.20%,93.73%,1.82%,4.44%,56.98%,48.91%
78573,0.07%,0.11%,0.20%,0.02%,46.36%,0.01%,53.24%,93.79%,1.59%,4.62%,61.33%,50.24%
78574,0.09%,0.12%,0.19%,0.01%,44.39%,0.00%,55.19%,94.71%,1.01%,4.28%,66.18%,52.04%
78575,0.12%,0.00%,0.25%,0.25%,49.32%,0.00%,50.06%,92.19%,3.10%,4.71%,53.28%,46.31%
78576,0.09%,0.09%,0.14%,0.00%,40.31%,0.00%,59.35%,94.66%,0.77%,4.57%,67.04%,47.52%
78577,0.08%,0.13%,0.17%,0.01%,36.30%,0.00%,63.32%,94.66%,1.28%,4.06%,59.23%,50.49%
78578,0.14%,0.14%,0.31%,0.00%,45.23%,0.00%,54.21%,89.66%,6.81%,3.50%,66.38%,57.44%
78579,0.30%,0.00%,0.15%,0.00%,45.35%,0.00%,54.26%,94.87%,1.19%,3.93%,54.25%,47.83%
78580,0.09%,0.07%,0.49%,0.00%,39.72%,0.00%,59.60%,92.53%,2.49%,4.98%,39.77%,35.22%
78581,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,100.00%,100.00%,0.00%,0.00%,100.00%,100.00%
78582,0.16%,0.05%,0.22%,0.05%,26.20%,0.03%,73.29%,94.53%,0.76%,4.72%,54.65%,45.31%
78583,0.06%,0.06%,0.12%,0.00%,42.78%,0.00%,56.85%,91.97%,3.86%,4.17%,53.41%,46.99%
78584,0.07%,0.06%,0.11%,0.01%,29.65%,0.00%,70.09%,95.05%,0.83%,4.13%,58.75%,50.33%
78585,0.00%,0.00%,0.00%,0.00%,34.31%,0.00%,65.69%,90.51%,0.73%,8.03%,48.72%,46.15%
78586,0.10%,0.08%,0.26%,0.01%,38.44%,0.00%,61.10%,93.89%,1.81%,4.31%,54.70%,46.38%
78587,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,100.00%,75.00%,25.00%,0.00%,100.00%,100.00%
78588,1.43%,0.00%,0.00%,0.00%,24.29%,0.00%,74.29%,94.29%,1.43%,4.29%,50.00%,40.91%
78589,0.11%,0.13%,0.16%,0.01%,44.77%,0.01%,54.80%,94.83%,1.19%,3.99%,57.94%,48.14%
78590,0.00%,0.00%,0.46%,0.00%,36.70%,0.00%,62.84%,93.58%,2.75%,3.67%,46.27%,34.33%
78591,0.00%,0.00%,0.00%,0.00%,33.93%,0.00%,66.07%,92.86%,3.57%,3.57%,56.25%,43.75%
78592,0.00%,0.00%,0.00%,0.00%,45.35%,0.00%,54.65%,95.35%,1.16%,3.72%,51.67%,45.83%
78593,0.14%,0.05%,0.05%,0.00%,43.40%,0.00%,56.37%,92.78%,1.98%,5.24%,51.49%,46.47%
78594,0.00%,0.14%,0.14%,0.00%,36.87%,0.00%,62.99%,95.37%,1.36%,3.40%,40.24%,36.99%
78595,0.00%,0.14%,0.07%,0.03%,37.11%,0.00%,62.68%,94.15%,0.73%,5.12%,55.84%,44.67%
78596,0.20%,0.12%,0.21%,0.04%,47.86%,0.01%,51.55%,93.83%,1.60%,4.58%,54.25%,46.20%
78597,1.02%,0.00%,2.54%,0.00%,61.42%,0.00%,35.03%,57.87%,38.07%,4.06%,57.33%,50.67%
78598,0.00%,0.00%,0.00%,0.00%,73.68%,0.00%,26.32%,31.58%,68.42%,0.00%,27.27%,27.27%
78599,0.12%,0.00%,0.37%,0.00%,51.84%,0.00%,47.67%,93.00%,1.47%,5.53%,54.89%,49.36%
78600,0.00%,0.00%,0.00%,0.00%,50.00%,0.00%,50.00%,50.00%,50.00%,0.00%,100.00%,100.00%
78601,0.00%,0.00%,0.00%,0.00%,100.00%,0.00%,0.00%,0.00%,100.00%,0.00%,0.00%,0.00%
78602,0.58%,0.61%,12.49%,0.06%,56.86%,0.12%,29.33%,39.36%,51.76%,8.91%,43.85%,40.55%
78603,0.00%,0.00%,0.00%,0.00%,100.00%,0.00%,0.00%,0.00%,100.00%,0.00%,100.00%,0.00%
78604,0.00%,0.00%,0.00%,0.00%,21.43%,0.00%,78.57%,92.86%,0.00%,7.14%,100.00%,100.00%
78605,0.00%,0.00%,1.39%,0.00%,80.42%,0.00%,18.02%,36.92%,55.46%,7.45%,52.15%,47.31%
78606,0.23%,0.68%,2.94%,0.00%,71.95%,0.23%,23.98%,45.02%,47.06%,8.14%,53.69%,48.99%
78607,0.00%,0.00%,0.00%,0.00%,100.00%,0.00%,0.00%,0.00%,100.00%,0.00%,50.00%,50.00%
78608,0.00%,0.00%,4.26%,0.00%,87.23%,0.00%,6.38%,4.26%,91.49%,4.26%,53.33%,46.67%
78609,0.00%,0.00%,0.85%,0.00%,86.32%,0.85%,11.97%,8.55%,84.62%,6.84%,36.54%,34.62%
78610,0.21%,0.63%,3.80%,0.05%,68.37%,0.21%,26.72%,62.99%,28.62%,8.39%,49.84%,46.88%
78611,0.45%,0.58%,3.38%,0.13%,79.66%,0.13%,15.66%,25.21%,67.84%,6.95%,45.71%,41.79%
78612,0.51%,0.67%,5.18%,0.05%,62.15%,0.00%,31.49%,58.00%,34.10%,7.90%,47.51%,44.85%
78613,0.45%,2.05%,10.89%,0.03%,64.40%,0.30%,21.87%,33.88%,57.92%,8.21%,48.56%,45.24%
78614,0.00%,0.00%,1.64%,0.00%,40.98%,0.00%,57.38%,60.66%,29.51%,9.84%,61.11%,61.11%
78615,1.15%,2.30%,9.20%,0.00%,57.47%,0.00%,29.89%,64.37%,29.89%,5.75%,54.17%,54.17%
78616,0.44%,0.09%,5.41%,0.00%,63.06%,0.00%,30.92%,68.38%,26.29%,5.24%,54.46%,50.77%
78617,0.47%,0.61%,7.09%,0.04%,56.20%,0.04%,35.55%,74.28%,17.84%,7.88%,54.10%,50.75%
78618,0.00%,0.00%,0.00%,0.00%,100.00%,0.00%,0.00%,14.29%,85.71%,14.29%,50.00%,50.00%
78619,1.08%,0.00%,0.00%,0.00%,76.34%,1.08%,22.58%,22.58%,67.74%,9.68%,44.44%,41.67%
78620,0.47%,0.31%,1.40%,0.16%,76.01%,0.16%,21.65%,52.34%,40.03%,7.63%,53.81%,50.25%
78621,0.64%,0.27%,14.73%,0.23%,50.82%,0.00%,33.31%,53.44%,35.06%,11.51%,50.05%,46.40%
78622,0.00%,0.00%,6.67%,0.00%,76.67%,0.00%,20.00%,46.67%,43.33%,10.00%,38.46%,38.46%
78623,0.00%,0.00%,0.00%,0.00%,75.76%,0.00%,24.24%,27.27%,69.70%,3.03%,41.67%,41.67%
78624,0.17%,0.29%,0.29%,0.23%,62.55%,0.06%,36.34%,50.73%,43.27%,6.00%,54.84%,51.61%
78625,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,100.00%,100.00%,0.00%,0.00%,100.00%,100.00%
78626,0.52%,0.58%,7.81%,0.11%,67.68%,0.16%,23.17%,57.68%,35.72%,6.60%,52.01%,49.24%
78627,16.67%,16.67%,0.00%,0.00%,66.67%,0.00%,0.00%,16.67%,83.33%,0.00%,33.33%,33.33%
78628,0.55%,0.90%,9.17%,0.15%,68.29%,0.05%,20.84%,42.99%,50.10%,6.96%,48.93%,45.49%
78629,3.28%,0.04%,12.97%,0.00%,36.13%,0.47%,47.14%,64.42%,30.93%,4.65%,48.33%,46.15%
78630,0.00%,0.00%,15.38%,7.69%,61.54%,7.69%,15.38%,15.38%,76.92%,15.38%,20.00%,20.00%
78631,0.56%,0.00%,0.00%,0.00%,78.77%,0.00%,21.23%,18.99%,74.30%,6.70%,35.48%,32.26%
78632,0.00%,0.00%,1.43%,0.00%,58.57%,0.00%,40.00%,60.00%,37.14%,2.86%,54.55%,50.00%
78633,2.10%,0.70%,2.80%,0.00%,82.17%,0.00%,12.24%,20.98%,72.03%,6.99%,34.48%,32.76%
78634,0.27%,1.38%,15.08%,0.09%,58.78%,0.09%,24.31%,41.84%,49.11%,9.05%,47.65%,44.94%
78635,0.00%,0.00%,0.00%,0.00%,85.71%,0.00%,14.29%,0.00%,85.71%,14.29%,66.67%,33.33%
78636,0.35%,0.00%,1.06%,0.35%,81.63%,0.00%,16.25%,30.39%,62.19%,7.07%,52.58%,48.45%
78638,0.00%,0.00%,4.17%,0.00%,64.06%,0.00%,32.29%,36.98%,54.69%,8.33%,34.57%,32.10%
78639,0.19%,0.28%,3.29%,0.00%,80.17%,0.19%,15.88%,20.30%,71.24%,8.46%,43.11%,40.10%
78640,0.29%,0.35%,3.78%,0.10%,63.15%,0.07%,32.26%,70.38%,20.82%,8.79%,54.66%,51.57%
78641,0.42%,1.59%,7.84%,0.15%,64.89%,0.23%,24.89%,36.70%,54.62%,8.67%,45.83%,43.13%
78642,0.53%,1.07%,1.60%,0.00%,80.02%,0.11%,16.77%,28.10%,64.21%,7.80%,45.30%,42.28%
78643,0.66%,0.17%,1.33%,0.00%,80.43%,0.00%,17.41%,16.92%,74.13%,8.96%,46.05%,42.98%
78644,0.32%,0.14%,7.85%,0.04%,55.61%,0.04%,36.01%,60.35%,32.19%,7.46%,44.14%,40.44%
78645,0.52%,0.26%,3.26%,0.65%,74.45%,0.13%,20.73%,26.08%,65.84%,8.08%,40.35%,37.54%
78646,0.00%,0.00%,0.00%,0.00%,100.00%,0.00%,0.00%,45.45%,63.64%,0.00%,16.67%,16.67%
78648,0.23%,0.15%,10.30%,0.00%,61.95%,0.00%,27.36%,58.57%,33.74%,7.69%,42.98%,40.53%
78650,0.00%,0.00%,2.30%,0.00%,67.28%,0.00%,30.41%,45.16%,46.08%,9.22%,51.52%,46.97%
78652,0.00%,1.40%,6.51%,0.00%,66.98%,0.00%,25.12%,42.79%,47.44%,9.77%,38.96%,35.06%
78653,0.29%,0.43%,24.94%,0.09%,45.38%,0.14%,28.76%,53.96%,37.08%,8.96%,51.18%,48.33%
78654,0.31%,0.49%,3.62%,0.04%,73.38%,0.00%,22.15%,41.57%,50.16%,8.28%,46.96%,43.34%
78655,0.27%,0.00%,2.74%,0.00%,57.81%,0.27%,39.18%,73.15%,18.90%,7.95%,54.95%,52.25%
78656,0.71%,0.00%,3.81%,0.48%,52.38%,0.24%,42.38%,73.10%,18.33%,8.33%,46.04%,42.45%
78657,1.78%,0.71%,2.14%,0.00%,74.73%,0.00%,20.28%,37.37%,57.30%,5.69%,62.50%,57.95%
78658,0.00%,0.00%,14.29%,0.00%,35.71%,0.00%,57.14%,57.14%,42.86%,7.14%,50.00%,25.00%
78659,0.30%,0.30%,5.37%,0.00%,70.45%,0.00%,23.88%,34.03%,58.51%,7.76%,47.27%,44.55%
78660,0.42%,4.29%,25.09%,0.16%,44.20%,0.11%,25.72%,42.56%,48.29%,9.17%,48.52%,45.39%
78661,0.00%,1.32%,26.32%,0.00%,53.95%,0.00%,18.42%,50.00%,40.79%,9.21%,47.62%,42.86%
78662,0.88%,0.44%,3.07%,0.00%,70.61%,0.00%,24.56%,32.46%,57.89%,9.65%,42.67%,38.67%
78663,0.00%,0.00%,3.33%,0.00%,83.33%,0.00%,13.33%,46.67%,50.00%,3.33%,46.15%,38.46%
78664,0.31%,1.37%,19.01%,0.17%,51.76%,0.12%,27.29%,47.44%,43.95%,8.63%,54.05%,51.34%
78665,0.59%,2.43%,23.04%,0.30%,50.71%,0.18%,22.80%,32.96%,57.48%,9.56%,43.81%,40.47%
78666,0.43%,0.43%,8.46%,0.08%,62.27%,0.07%,28.27%,58.49%,32.08%,9.42%,54.06%,51.44%
78667,0.00%,0.00%,5.56%,0.00%,83.33%,0.00%,16.67%,55.56%,44.44%,5.56%,33.33%,22.22%
78668,0.00%,0.00%,0.00%,0.00%,100.00%,0.00%,0.00%,0.00%,100.00%,0.00%,0.00%,0.00%
78669,0.00%,0.00%,2.01%,0.00%,83.22%,0.00%,14.77%,18.79%,74.50%,7.38%,30.30%,25.76%
78670,0.00%,0.00%,2.56%,0.00%,30.77%,0.00%,66.67%,84.62%,7.69%,7.69%,55.56%,55.56%
78671,0.00%,0.00%,0.00%,0.00%,45.92%,0.00%,54.08%,68.37%,26.53%,4.08%,48.39%,48.39%
78672,0.99%,0.00%,2.97%,0.00%,92.08%,0.00%,3.96%,4.95%,91.09%,3.96%,25.53%,21.28%
78674,0.00%,0.00%,1.00%,0.00%,71.00%,1.00%,27.00%,71.00%,22.00%,8.00%,55.56%,51.85%
78675,0.00%,0.00%,0.00%,0.00%,50.00%,0.00%,50.00%,77.78%,22.22%,5.56%,50.00%,50.00%
78676,1.32%,0.15%,0.88%,0.00%,78.56%,0.00%,18.94%,42.14%,47.72%,10.13%,48.54%,44.77%
78677,0.00%,0.00%,0.00%,0.00%,29.41%,0.00%,64.71%,94.12%,5.88%,0.00%,75.00%,75.00%
78678,0.00%,0.00%,0.00%,0.00%,100.00%,0.00%,0.00%,0.00%,100.00%,0.00%,0.00%,0.00%
78680,0.00%,0.00%,16.67%,5.56%,61.11%,0.00%,11.11%,22.22%,66.67%,11.11%,33.33%,33.33%
78681,0.47%,2.28%,13.43%,0.20%,57.11%,0.20%,26.36%,43.60%,48.04%,8.37%,46.82%,44.20%
78682,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,100.00%,100.00%,0.00%,0.00%,0.00%,0.00%
78683,0.00%,0.00%,43.75%,0.00%,56.25%,0.00%,0.00%,25.00%,75.00%,6.25%,22.22%,22.22%
78691,0.00%,0.00%,70.00%,0.00%,20.00%,0.00%,10.00%,10.00%,85.00%,5.00%,28.57%,28.57%
78693,0.00%,0.00%,0.00%,0.00%,100.00%,0.00%,0.00%,0.00%,100.00%,0.00%,100.00%,100.00%
78699,0.00%,0.00%,0.00%,0.00%,100.00%,0.00%,0.00%,0.00%,100.00%,0.00%,0.00%,0.00%
78701,0.85%,0.56%,28.07%,0.28%,54.72%,0.28%,15.09%,19.61%,75.18%,5.08%,12.38%,11.61%
78702,0.35%,0.75%,21.75%,0.09%,42.41%,0.07%,34.60%,59.15%,31.18%,9.66%,35.35%,32.80%
78703,0.00%,12.65%,12.65%,0.41%,53.06%,0.00%,21.22%,15.10%,70.20%,14.69%,48.54%,44.66%
78704,0.45%,0.65%,9.90%,0.09%,58.26%,0.13%,30.51%,63.47%,27.88%,8.65%,43.45%,40.64%
78705,2.60%,2.60%,11.46%,0.00%,65.63%,0.00%,17.71%,20.83%,71.88%,7.81%,42.18%,41.50%
78708,0.00%,0.00%,38.46%,0.00%,46.15%,0.00%,23.08%,38.46%,53.85%,15.38%,16.67%,16.67%
78709,40.00%,0.00%,0.00%,0.00%,60.00%,0.00%,20.00%,20.00%,80.00%,0.00%,33.33%,33.33%
78710,0.00%,0.00%,0.00%,0.00%,100.00%,0.00%,0.00%,0.00%,100.00%,0.00%,0.00%,0.00%
78711,0.00%,0.00%,8.00%,0.00%,76.00%,0.00%,16.00%,20.00%,72.00%,8.00%,18.18%,18.18%
78714,0.00%,0.00%,60.00%,0.00%,30.00%,0.00%,10.00%,5.00%,85.00%,10.00%,15.38%,15.38%
78715,0.00%,0.00%,0.00%,0.00%,100.00%,0.00%,0.00%,0.00%,100.00%,0.00%,33.33%,33.33%
78716,0.00%,0.00%,0.00%,0.00%,100.00%,0.00%,0.00%,0.00%,100.00%,0.00%,0.00%,0.00%
78717,0.00%,7.71%,14.54%,0.22%,58.15%,0.22%,19.38%,26.65%,64.98%,8.37%,42.86%,39.56%
78718,0.00%,0.00%,25.00%,0.00%,0.00%,0.00%,50.00%,50.00%,50.00%,0.00%,50.00%,50.00%
78719,0.55%,0.00%,2.40%,0.00%,62.48%,0.18%,34.57%,77.82%,14.05%,8.32%,60.26%,55.13%
78720,0.00%,12.50%,25.00%,0.00%,50.00%,0.00%,12.50%,12.50%,62.50%,25.00%,33.33%,33.33%
78721,0.29%,0.15%,26.88%,0.02%,37.20%,0.07%,35.39%,56.54%,33.53%,9.93%,39.19%,36.28%
78722,0.00%,0.27%,38.01%,0.00%,37.74%,0.00%,23.99%,26.68%,63.07%,10.24%,34.85%,33.33%
78723,0.32%,2.73%,23.60%,0.04%,41.74%,0.08%,31.49%,56.84%,34.63%,8.52%,46.82%,43.83%
78724,0.28%,0.37%,22.32%,0.09%,43.01%,0.07%,33.88%,64.67%,26.95%,8.38%,55.57%,52.15%
78725,0.13%,0.70%,25.63%,0.06%,38.23%,0.32%,35.00%,53.80%,35.63%,10.57%,47.72%,45.44%
78726,0.52%,2.45%,15.91%,0.35%,60.84%,0.87%,19.23%,23.43%,67.83%,8.74%,49.77%,47.44%
78727,0.46%,5.26%,26.89%,0.07%,43.39%,0.20%,23.73%,34.58%,55.42%,9.99%,44.50%,41.31%
78728,0.41%,2.81%,23.83%,0.46%,46.53%,0.31%,25.66%,38.93%,50.26%,10.87%,47.01%,44.59%
78729,0.80%,3.33%,15.72%,0.33%,59.76%,0.07%,19.99%,28.25%,62.96%,8.79%,46.57%,44.39%
78730,1.59%,4.76%,11.11%,0.00%,68.25%,0.00%,12.70%,19.05%,77.78%,3.17%,44.00%,40.00%
78731,0.62%,5.56%,7.10%,0.00%,65.43%,0.31%,20.99%,25.93%,62.65%,11.42%,39.38%,35.63%
78732,1.11%,8.89%,2.22%,0.00%,71.11%,0.00%,16.67%,11.11%,82.22%,6.67%,40.54%,37.84%
78733,0.00%,2.00%,1.33%,0.00%,76.67%,0.00%,20.00%,33.33%,58.67%,8.00%,29.03%,24.19%
78734,0.75%,1.13%,1.89%,0.00%,67.30%,0.13%,28.81%,50.44%,41.13%,8.43%,55.75%,51.57%
78735,0.86%,0.74%,1.73%,0.12%,65.43%,0.00%,31.11%,63.33%,29.01%,7.65%,59.71%,56.04%
78736,1.36%,3.73%,5.42%,0.34%,66.10%,0.34%,22.71%,33.22%,56.27%,10.51%,46.96%,44.35%
78737,0.00%,1.75%,0.88%,0.00%,81.58%,0.00%,16.67%,42.98%,47.37%,9.65%,34.09%,31.82%
78738,1.40%,2.80%,2.80%,0.70%,67.83%,0.00%,24.48%,28.67%,61.54%,9.79%,51.85%,44.44%
78739,0.00%,5.45%,6.36%,0.00%,66.36%,0.00%,22.73%,24.55%,63.64%,12.73%,35.56%,33.33%
78741,0.66%,2.17%,9.55%,0.08%,55.76%,0.08%,31.71%,71.26%,20.61%,8.13%,54.69%,51.65%
78742,0.28%,0.00%,3.06%,0.28%,62.12%,0.00%,34.26%,82.73%,10.86%,6.41%,54.21%,51.40%
78744,0.44%,0.32%,8.00%,0.09%,57.54%,0.04%,33.56%,77.41%,15.28%,7.31%,57.98%,54.52%
78745,0.49%,0.55%,6.37%,0.10%,62.06%,0.09%,30.36%,64.67%,27.86%,7.47%,47.85%,44.71%
78746,0.78%,6.20%,4.65%,0.00%,72.87%,0.00%,15.50%,19.38%,73.64%,6.98%,33.33%,31.67%
78747,0.35%,1.02%,7.28%,0.08%,57.32%,0.00%,33.92%,71.91%,19.68%,8.41%,55.05%,51.81%
78748,0.87%,2.02%,9.22%,0.11%,61.25%,0.20%,26.31%,51.61%,39.73%,8.63%,46.19%,42.84%
78749,0.42%,2.82%,13.97%,0.21%,56.93%,0.10%,25.65%,37.43%,51.82%,10.74%,42.19%,39.45%
78750,0.69%,2.55%,12.84%,0.39%,58.24%,0.59%,24.71%,38.14%,53.63%,8.14%,53.20%,51.25%
78751,0.38%,0.76%,11.20%,0.19%,63.57%,0.19%,23.91%,44.40%,46.87%,8.92%,44.22%,42.18%
78752,0.38%,1.57%,9.53%,0.08%,54.25%,0.05%,34.15%,74.22%,18.74%,7.06%,59.16%,55.30%
78753,0.53%,4.02%,11.34%,0.04%,51.81%,0.07%,32.18%,67.38%,24.70%,7.91%,59.78%,56.31%
78754,0.62%,4.24%,26.93%,0.16%,40.00%,0.04%,28.05%,47.94%,42.02%,10.08%,52.53%,49.82%
78755,0.00%,0.00%,0.00%,0.00%,50.00%,0.00%,0.00%,50.00%,50.00%,0.00%,0.00%,0.00%
78756,0.43%,3.03%,16.88%,0.43%,59.31%,0.00%,20.35%,24.24%,68.83%,6.93%,31.82%,29.87%
78757,0.48%,0.71%,7.37%,0.24%,60.17%,0.12%,30.98%,66.41%,25.86%,7.73%,53.74%,51.25%
78758,0.62%,1.54%,11.26%,0.07%,52.77%,0.09%,33.65%,70.16%,22.11%,7.73%,60.32%,56.95%
78759,0.78%,5.68%,13.31%,0.20%,58.41%,0.39%,21.23%,28.96%,61.25%,9.78%,44.03%,41.81%
78760,0.00%,0.00%,15.79%,0.00%,47.37%,0.00%,42.11%,57.89%,36.84%,5.26%,25.00%,12.50%
78761,0.00%,0.00%,40.91%,0.00%,31.82%,0.00%,22.73%,27.27%,63.64%,4.55%,36.36%,27.27%
